acc_x,acc_y,acc_z,acc_dx,acc_dy,acc_dz,pothole,date
-0.023621,0.030228,0.031464,-0.00232,0.010361,0.011597,0,1595105431124
-0.02002,0.020767,-0.01091,0.003601,-0.009461,-0.041138,0,1595105431227
-0.013519,0.027344,0.012482,0.006501,0.006577,-0.008285,0,1595105431329
-0.019974,0.029892,-0.020935,-0.006455,0.002548,-0.048279,0,1595105431431
-0.020966,0.024551,0.010727,-0.000992,-0.005341,-0.019165,0,1595105431548
-0.03006,0.024429,-0.023621,-0.009094,-0.000122,-0.048172,0,1595105431636
-0.014359,0.034607,0.019501,0.015701,0.010178,-0.004928,0,1595105431739
-0.014999,0.027374,-0.014877,-0.00064,-0.007233,-0.049484,0,1595105431841
-0.019073,0.021378,-0.034164,-0.004074,-0.005996,-0.061538,0,1595105431971
-0.02478,0.027054,0.007401,-0.005707,0.005676,-0.013977,0,1595105432149
-0.025665,0.020294,-0.031219,-0.000885,-0.00676,-0.058273,0,1595105432278
-0.004181,0.024353,0.015381,0.021484,0.004059,-0.004913,0,1595105432455
-0.021744,0.023666,-0.014725,-0.017563,-0.000687,-0.039078,0,1595105432455
-0.027924,0.030045,-0.016907,-0.00618,0.006379,-0.040573,0,1595105432558
-0.018829,0.017197,0.001221,0.009095,-0.012848,-0.028824,0,1595105432660
-0.017883,0.025894,-0.013824,0.000946,0.008697,-0.031021,0,1595105432680
-0.019806,0.024414,-0.032242,-0.001923,-0.00148,-0.058136,0,1595105432865
-0.025253,0.030457,0.004639,-0.005447,0.006043,-0.019775,0,1595105432892
-0.010345,0.029556,-0.013336,0.014908,-0.000901,-0.043793,0,1595105433069
-0.018051,0.027283,0.007156,-0.007706,-0.002273,-0.0224,0,1595105433171
-0.022385,0.023193,-0.017441,-0.004334,-0.00409,-0.044724,0,1595105433295
-0.014862,0.030411,-0.005692,0.007523,0.007218,-0.028885,0,1595105433377
-0.017349,0.028656,-0.026413,-0.002487,-0.001755,-0.056824,0,1595105433480
-0.0112,0.0242,-0.019135,0.006149,-0.004456,-0.047791,0,1595105433582
-0.024521,0.028351,-0.018021,-0.013321,0.004151,-0.042221,0,1595105433707
-0.019318,0.028214,-0.012848,0.005203,-0.000137,-0.041199,0,1595105433787
-0.009613,0.024994,-0.037308,0.009705,-0.00322,-0.065522,0,1595105433889
-0.007706,0.033951,-0.034729,0.001907,0.008957,-0.059723,0,1595105433991
-0.028931,0.029587,-0.002808,-0.021225,-0.004364,-0.036759,0,1595105434094
-0.022156,0.039276,0.010406,0.006775,0.009689,-0.019181,0,1595105434219
-0.005859,0.028778,-0.027374,0.016297,-0.010498,-0.06665,0,1595105434330
-0.025406,0.036926,0.040176,-0.019547,0.008148,0.011398,0,1595105434504
-0.028732,0.02858,-0.001328,-0.003326,-0.008346,-0.038254,0,1595105434606
-0.013016,0.033051,0.048737,0.015716,0.004471,0.020157,0,1595105434647
-0.020203,0.034531,0.043686,-0.007187,0.00148,0.010635,0,1595105434740
-0.02002,0.029266,0.02861,0.000183,-0.005265,-0.005921,0,1595105434848
-0.017365,0.031494,0.036423,0.002655,0.002228,0.007157,0,1595105435014
-0.020676,0.021835,0.000305,-0.003311,-0.009659,-0.031189,0,1595105435055
-0.027527,0.036575,0.058243,-0.006851,0.01474,0.036408,0,1595105435220
-0.017502,0.026993,-0.000412,0.010025,-0.009582,-0.036987,0,1595105435322
-0.02124,0.025513,0.031036,-0.003738,-0.00148,0.004043,0,1595105435425
-0.019958,0.030243,-0.010605,0.001282,0.00473,-0.036118,0,1595105435527
-0.017059,0.03299,0.061005,0.002899,0.002747,0.030762,0,1595105435630
-0.024261,0.025513,0.005737,-0.007202,-0.007477,-0.027253,0,1595105435732
-0.006714,0.031738,0.03244,0.017547,0.006225,0.006927,0,1595105435834
-0.01947,0.029678,0.025452,-0.012756,-0.00206,-0.006286,0,1595105435950
-0.028915,0.034256,0.043213,-0.009445,0.004578,0.013535,0,1595105436040
-0.019028,0.024734,0.028076,0.009887,-0.009522,-0.00618,0,1595105436158
-0.017853,0.03392,0.042816,0.001175,0.009186,0.018082,0,1595105436268
-0.01535,0.028763,0.037766,0.002503,-0.005157,0.003846,0,1595105436357
-0.017548,0.027496,0.01355,-0.002198,-0.001267,-0.015213,0,1595105436552
-0.015686,0.029877,0.055283,0.001862,0.002381,0.027787,0,1595105436570
-0.026871,0.023102,0.006653,-0.011185,-0.006775,-0.023224,0,1595105436688
-0.016235,0.034866,0.041458,0.010636,0.011764,0.018356,0,1595105436788
-0.024841,0.01619,0.010941,-0.008606,-0.018676,-0.023925,0,1595105436895
-0.027863,0.031662,0.021835,-0.003022,0.015472,0.005645,0,1595105437165
-0.013016,0.020844,-0.021271,0.014847,-0.010818,-0.052933,0,1595105437281
-0.020615,0.032532,0.016632,-0.007599,0.011688,-0.004212,0,1595105437575
-0.021484,0.021591,-0.058792,-0.000869,-0.010941,-0.091324,0,1595105437575
-0.01622,0.026093,-0.000076,0.005264,0.004502,-0.021667,0,1595105437575
-0.01947,0.021988,-0.01738,-0.00325,-0.004105,-0.043473,0,1595105437678
-0.017975,0.029251,-0.015976,0.001495,0.007263,-0.037964,0,1595105437692
-0.027481,0.019287,-0.021317,-0.009506,-0.009964,-0.050568,0,1595105437781
-0.022369,0.01709,-0.017395,0.005112,-0.002197,-0.036682,0,1595105437883
-0.024094,0.028305,-0.012192,-0.001725,0.011215,-0.029282,0,1595105437999
-0.009171,0.028763,-0.027298,0.014923,0.000458,-0.055603,0,1595105438088
-0.022339,0.028473,-0.030228,-0.013168,-0.00029,-0.058991,0,1595105438208
-0.015335,0.027328,-0.0047,0.007004,-0.001145,-0.033173,0,1595105438293
-0.009537,0.026642,0.004654,0.005798,-0.000686,-0.022674,0,1595105438427
-0.026093,0.029938,-0.038544,-0.016556,0.003296,-0.065186,0,1595105438509
-0.017075,0.017685,-0.035645,0.009018,-0.012253,-0.065583,0,1595105438702
-0.015289,0.025864,0.009903,0.001786,0.008179,-0.007782,0,1595105438808
-0.016937,0.030334,0.022583,-0.001648,0.00447,-0.003281,0,1595105438839
-0.020981,0.008652,-0.016479,-0.004044,-0.021682,-0.046813,0,1595105438938
-0.012299,-0.01384,-0.023819,0.008682,-0.022492,-0.032471,0,1595105439127
-0.013504,-0.0159,-0.014709,-0.001205,-0.00206,-0.000869,0,1595105439214
-0.009232,-0.013275,-0.014145,0.004272,0.002625,0.001755,0,1595105439317
-0.008133,-0.000397,0.050095,0.001099,0.012878,0.06337,0,1595105439419
-0.017609,0.003525,-0.014801,-0.009476,0.003922,-0.014404,0,1595105439522
-0.014343,-0.003174,-0.042358,0.003266,-0.006699,-0.045883,0,1595105439624
